height_cm,weight_kg,body_type
194,85,Lean
188,87,Lean
177,75,Lean
185,80,Normal
173,67,Lean
182,71,Normal
186,82,Lean
173,70,Normal
180,80,Stocky
172,69,Stocky
171,63,Lean
181,82,Normal
171,63,Lean
188,83,Normal
188,84,Stocky
181,70,Lean
175,68,Normal
188,77,Normal
187,81,Lean
191,89,Normal
176,72,Lean
184,75,Normal
180,76,Lean
187,80,Normal
176,74,Normal
183,77,Normal
178,73,Normal
184,74,Lean
180,73,Normal
167,63,Lean
186,82,Normal
187,79,Normal
178,74,Lean
185,85,Normal
183,74,Normal
188,77,Lean
181,77,Normal
174,68,Stocky
188,77,Lean
189,85,Lean
181,75,Lean
176,66,Lean
186,84,Normal
180,71,Lean
190,96,Normal
180,75,Normal
180,75,Lean
182,70,Normal
188,84,Lean
181,80,Normal
186,72,Lean
172,70,Normal
183,78,Normal
188,82,Normal
180,77,Normal
175,70,Stocky
179,70,Normal
184,78,Lean
177,73,Normal
170,67,Normal
194,81,Lean
191,82,Normal
168,67,Stocky
182,67,Lean
191,91,Normal
185,78,Normal
186,77,Normal
174,63,Lean
174,67,Lean
167,59,Lean
189,88,Normal
184,82,Normal
185,80,Normal
195,80,Lean
184,83,Normal
188,83,Normal
187,82,Stocky
180,66,Normal
188,77,Normal
179,70,Normal
182,81,Normal
191,76,Lean
182,77,Normal
178,70,Normal
178,75,Normal
178,76,Normal
182,76,Normal
187,82,Normal
187,81,Lean
190,80,Lean
194,94,Normal
179,75,Normal
176,83,Stocky
188,83,Normal
177,70,Lean
174,73,Normal
196,89,Normal
186,78,Normal
187,91,Stocky
188,72,Stocky
187,88,Normal
181,80,Normal
193,90,Normal
187,92,Normal
185,80,Normal
179,76,Normal
183,79,Normal
174,76,Normal
184,80,Lean
184,83,Normal
198,91,Lean
181,74,Lean
192,86,Normal
183,73,Normal
180,76,Lean
183,80,Normal
166,63,Stocky
165,63,Normal
185,81,Lean
186,81,Lean
190,87,Lean
176,70,Normal
197,98,Normal
195,85,Normal
180,72,Lean
185,80,Normal
179,70,Normal
187,91,Stocky
176,75,Normal
173,71,Normal
180,73,Normal
182,80,Normal
181,80,Normal
187,80,Lean
196,75,Lean
177,74,Normal
179,92,Stocky
186,80,Normal
194,81,Lean
190,80,Normal
172,66,Normal
191,84,Normal
194,85,Normal
182,77,Lean
179,75,Normal
181,77,Stocky
188,84,Normal
171,61,Normal
179,79,Stocky
184,76,Lean
177,72,Normal
182,75,Lean
178,65,Lean
177,78,Stocky
184,80,Normal
196,85,Lean
186,84,Normal
181,76,Lean
170,73,Normal
188,81,Normal
164,60,Lean
181,76,Normal
189,88,Normal
183,83,Normal
179,76,Normal
185,79,Normal
186,83,Stocky
177,75,Stocky
178,69,Lean
190,85,Normal
177,75,Stocky
178,69,Lean
176,73,Lean
187,72,Lean
180,72,Lean
183,72,Lean
193,82,Lean
192,93,Normal
186,83,Lean
195,94,Normal
186,77,Normal
175,70,Lean
179,72,Lean
182,75,Lean
173,67,Normal
174,78,Normal
186,76,Normal
177,69,Lean
183,76,Normal
181,73,Lean
177,68,Lean
184,74,Lean
196,90,Stocky
177,69,Lean
180,72,Normal
191,88,Normal
170,64,Normal
184,80,Normal
189,83,Normal
180,69,Lean
186,79,Lean
186,76,Lean
177,73,Lean
178,77,Normal
191,94,Stocky
192,86,Normal
184,78,Lean
173,66,Normal
186,76,Lean
172,71,Normal
190,88,Normal
185,75,Normal
186,83,Normal
175,69,Lean
175,69,Stocky
175,73,Lean
185,79,Normal
181,71,Normal
164,64,Normal
176,68,Lean
190,90,Normal
172,67,Lean
170,70,Normal
180,73,Normal
179,70,Normal
178,73,Lean
187,77,Lean
187,80,Normal
185,87,Normal
182,78,Normal
192,81,Normal
189,87,Normal
200,76,Lean
193,78,Normal
185,88,Normal
184,74,Normal
183,85,Stocky
188,84,Normal
173,63,Lean
184,78,Normal
180,76,Stocky
172,71,Normal
188,85,Lean
184,82,Normal
186,81,Normal
187,85,Normal
195,97,Normal
182,76,Lean
169,64,Lean
183,80,Normal
186,86,Normal
185,74,Lean
189,80,Normal
181,85,Stocky
187,83,Normal
184,82,Normal
189,85,Normal
185,80,Normal
185,71,Normal
176,76,Normal
186,75,Lean
178,78,Normal
178,72,Normal
182,70,Lean
171,62,Normal
181,71,Stocky
184,75,Normal
182,72,Lean
174,66,Normal
175,69,Normal
188,77,Lean
193,79,Lean
185,79,Lean
188,85,Normal
176,76,Normal
173,75,Stocky
175,73,Normal
191,81,Normal
188,77,Lean
178,75,Lean
183,76,Normal
183,75,Normal
180,70,Normal
189,77,Lean
185,86,Normal
177,71,Lean
193,94,Normal
180,77,Lean
172,68,Lean
180,78,Normal
179,72,Normal
178,79,Normal
177,77,Normal
178,73,Lean
187,84,Normal
177,70,Lean
180,80,Normal
177,69,Lean
186,83,Normal
187,80,Lean
186,76,Lean
192,87,Lean
173,75,Stocky
174,72,Normal
183,78,Normal
186,85,Stocky
175,68,Lean
172,68,Normal
190,80,Normal
182,77,Lean
174,69,Normal
187,78,Lean
191,89,Normal
171,64,Lean
180,83,Stocky
186,79,Normal
176,72,Lean
182,74,Normal
187,89,Normal
185,78,Normal
191,86,Lean
190,83,Lean
176,82,Stocky
178,77,Normal
182,80,Normal
184,78,Lean
189,89,Normal
185,79,Normal
186,80,Lean
196,86,Lean
184,88,Normal
173,68,Normal
171,74,Stocky
170,67,Lean
169,69,Lean
179,74,Lean
181,77,Normal
189,84,Normal
185,75,Normal
170,65,Normal
182,81,Normal
177,80,Normal
181,72,Normal
187,80,Normal
181,77,Normal
190,83,Normal
187,82,Normal
183,81,Normal
177,75,Normal
182,79,Normal
188,88,Normal
186,80,Normal
176,73,Normal
182,79,Normal
175,70,Lean
186,80,Normal
176,73,Normal
190,83,Lean
185,76,Lean
185,80,Lean
183,74,Lean
171,64,Lean
192,78,Lean
192,90,Normal
191,80,Normal
194,92,Lean
175,59,Lean
175,73,Normal
173,66,Normal
178,68,Lean
175,72,Normal
180,73,Normal
175,64,Lean
192,88,Normal
190,79,Lean
186,80,Lean
189,88,Normal
178,68,Lean
189,78,Normal
186,81,Normal
163,65,Normal
188,86,Normal
178,68,Lean
172,64,Normal
189,78,Normal
183,71,Lean
196,95,Normal
175,63,Normal
181,78,Normal
178,70,Normal
194,84,Lean
184,85,Normal
188,75,Normal
187,74,Lean
182,74,Lean
179,71,Lean
191,93,Stocky
183,80,Normal
183,73,Lean
195,94,Normal
184,74,Lean
185,83,Normal
183,74,Normal
193,87,Normal
188,89,Stocky
175,70,Stocky
176,69,Lean
186,84,Normal
181,73,Lean
184,81,Normal
173,68,Lean
192,85,Lean
188,85,Normal
187,82,Stocky
193,84,Normal
185,69,Lean
188,80,Normal
187,79,Lean
190,88,Normal
187,91,Normal
176,67,Normal
180,80,Normal
187,80,Normal
178,76,Normal
183,72,Lean
190,77,Lean
176,75,Normal
178,72,Lean
187,74,Lean
179,70,Normal
172,75,Lean
185,75,Lean
193,76,Normal
189,89,Normal
192,88,Normal
186,78,Normal
175,80,Stocky
180,76,Lean
188,75,Lean
181,76,Normal
173,70,Lean
192,86,Normal
190,93,Normal
184,87,Normal
188,84,Lean
181,83,Stocky
195,90,Normal
181,78,Normal
184,82,Normal
185,72,Lean
182,87,Normal
183,81,Normal
181,77,Normal
170,68,Normal
190,84,Normal
199,98,Normal
170,67,Normal
176,70,Lean
180,75,Normal
175,70,Lean
178,68,Lean
193,87,Lean
175,75,Stocky
180,77,Normal
191,86,Lean
185,78,Lean
171,77,Stocky
179,71,Lean
174,69,Lean
187,82,Normal
180,79,Normal
175,77,Normal
180,78,Normal
192,85,Lean
192,84,Normal
185,85,Normal
183,80,Normal
188,83,Normal
175,75,Normal
181,81,Normal
184,82,Normal
179,80,Normal
172,73,Normal
179,65,Lean
180,73,Lean
175,72,Normal
182,72,Lean
182,74,Normal
177,74,Lean
177,77,Normal
181,76,Normal
193,87,Normal
183,80,Normal
192,74,Normal
183,82,Stocky
184,81,Normal
185,73,Normal
186,78,Normal
175,73,Normal
179,77,Normal
179,73,Normal
184,82,Normal
191,85,Normal
195,95,Lean
183,79,Normal
180,78,Lean
185,81,Lean
180,85,Normal
183,90,Stocky
184,80,Normal
186,76,Normal
190,81,Normal
188,82,Normal
163,63,Normal
194,92,Normal
184,73,Normal
175,69,Normal
187,79,Normal
185,73,Normal
188,81,Normal
186,84,Normal
196,91,Stocky
186,72,Normal
183,75,Lean
179,72,Normal
184,72,Lean
177,74,Lean
183,78,Normal
180,80,Normal
179,74,Lean
188,80,Normal
193,86,Normal
190,80,Normal
184,86,Normal
172,78,Normal
183,82,Normal
182,80,Lean
194,89,Normal
175,67,Normal
180,76,Normal
178,82,Stocky
181,78,Lean
179,77,Normal
190,85,Stocky
185,82,Normal
171,62,Lean
182,76,Normal
171,65,Stocky
180,77,Normal
173,69,Normal
178,73,Lean
186,84,Normal
184,80,Normal
170,69,Normal
186,85,Normal
180,82,Normal
178,77,Normal
175,72,Normal
179,75,Normal
188,85,Normal
183,78,Lean
187,85,Normal
188,80,Normal
188,78,Normal
179,77,Lean
183,75,Lean
181,78,Normal
181,80,Stocky
190,78,Normal
192,83,Lean
188,85,Normal
196,86,Normal
185,74,Lean
185,76,Normal
183,70,Normal
167,65,Lean
174,80,Stocky
176,72,Normal
185,89,Normal
192,86,Lean
182,67,Lean
184,81,Normal
176,69,Lean
171,73,Normal
187,79,Normal
187,91,Normal
190,86,Normal
185,75,Normal
168,65,Lean
174,71,Normal
176,75,Normal
187,85,Normal
176,70,Normal
168,65,Lean
177,75,Normal
174,71,Normal
185,83,Stocky
192,83,Normal
176,70,Normal
177,66,Lean
191,86,Lean
183,78,Normal
183,62,Lean
168,66,Stocky
187,76,Lean
187,80,Lean
176,70,Normal
175,68,Lean
183,72,Lean
182,80,Normal
185,74,Normal
179,72,Lean
180,66,Normal
182,78,Normal
178,70,Normal
178,79,Normal
178,68,Normal
173,68,Normal
180,81,Normal
180,74,Normal
175,71,Normal
185,75,Normal
188,82,Lean
190,78,Normal
175,71,Normal
175,70,Lean
172,72,Normal
184,80,Normal
183,62,Lean
167,66,Normal
190,86,Lean
186,78,Lean
193,88,Normal
182,72,Lean
174,66,Normal
184,83,Normal
171,64,Lean
189,77,Lean
187,71,Lean
181,75,Lean
167,58,Lean
184,79,Lean
180,72,Lean
182,74,Normal
180,73,Lean
188,73,Normal
185,74,Lean
177,71,Lean
178,71,Lean
175,77,Lean
184,80,Normal
182,74,Normal
186,75,Lean
180,75,Normal
168,65,Stocky
187,78,Lean
185,84,Normal
173,70,Normal
190,85,Stocky
180,71,Normal
182,76,Normal
175,73,Normal
191,87,Lean
168,62,Normal
175,66,Lean
192,78,Lean
175,74,Normal
174,70,Normal
188,83,Normal
187,77,Lean
175,71,Normal
188,77,Normal
175,70,Lean
186,75,Lean
180,71,Normal
188,76,Normal
182,78,Normal
173,69,Lean
197,95,Normal
187,84,Normal
177,86,Stocky
184,84,Normal
175,67,Lean
177,77,Normal
190,79,Lean
184,81,Normal
178,68,Lean
183,72,Lean
178,72,Lean
190,88,Normal
178,74,Lean
182,74,Lean
185,80,Lean
179,70,Normal
197,86,Lean
191,91,Normal
183,79,Normal
180,75,Lean
194,85,Normal
189,79,Normal
186,80,Normal
190,77,Lean
170,62,Lean
185,90,Normal
175,75,Normal
194,90,Lean
187,81,Lean
175,73,Normal
179,78,Normal
185,69,Lean
184,80,Lean
189,92,Normal
181,78,Normal
185,79,Lean
187,73,Normal
193,87,Normal
172,69,Lean
186,79,Normal
186,82,Lean
185,75,Lean
185,86,Stocky
182,71,Normal
188,86,Normal
182,76,Lean
189,83,Normal
168,71,Normal
182,78,Lean
185,73,Lean
192,78,Normal
174,74,Normal
181,74,Lean
180,76,Lean
186,80,Lean
180,73,Lean
197,92,Normal
174,70,Lean
176,78,Normal
192,78,Normal
190,84,Normal
188,82,Normal
187,76,Normal
186,83,Lean
196,91,Normal
176,65,Lean
175,65,Lean
195,89,Stocky
174,72,Normal
178,84,Normal
179,70,Lean
186,82,Normal
188,83,Normal
193,101,Normal
173,75,Normal
193,88,Normal
176,68,Lean
185,76,Normal
177,73,Normal
176,77,Lean
177,78,Normal
183,80,Lean
172,72,Stocky
184,80,Normal
183,79,Stocky
187,84,Normal
184,74,Lean
182,82,Normal
185,75,Lean
180,79,Normal
178,71,Lean
178,75,Normal
185,88,Normal
185,82,Lean
183,76,Normal
190,90,Normal
180,80,Stocky
180,80,Normal
174,78,Lean
193,85,Lean
192,94,Normal
172,64,Normal
191,86,Lean
171,61,Lean
176,67,Lean
173,70,Normal
187,72,Normal
180,78,Lean
182,77,Normal
183,70,Normal
177,81,Normal
185,79,Lean
188,87,Normal
179,75,Normal
183,75,Lean
185,80,Normal
178,80,Normal
186,87,Normal
174,73,Lean
179,76,Normal
174,72,Normal
180,80,Normal
186,84,Normal
177,76,Stocky
184,75,Lean
179,72,Lean
184,74,Normal
168,71,Stocky
183,78,Normal
187,80,Normal
178,72,Normal
182,84,Normal
187,82,Normal
182,70,Lean
179,70,Lean
184,81,Lean
184,78,Lean
178,73,Normal
180,73,Normal
174,67,Normal
179,73,Normal
185,81,Normal
178,76,Normal
198,97,Normal
175,77,Stocky
184,73,Normal
183,78,Normal
185,85,Normal
174,74,Normal
185,71,Lean
170,63,Lean
178,71,Lean
182,78,Normal
184,75,Lean
180,72,Normal
174,81,Normal
178,74,Normal
179,74,Normal
188,87,Normal
190,84,Lean
185,80,Normal
175,76,Normal
186,76,Normal
190,82,Normal
170,69,Normal
175,80,Normal
192,87,Lean
188,87,Normal
185,85,Normal
177,93,Stocky
184,77,Normal
186,73,Normal
189,84,Normal
178,71,Lean
178,72,Lean
188,88,Normal
178,71,Lean
176,75,Normal
187,85,Normal
186,83,Lean
171,69,Lean
182,79,Normal
174,64,Lean
191,80,Normal
184,73,Lean
186,82,Normal
183,76,Lean
178,78,Normal
190,77,Lean
174,78,Lean
176,68,Normal
183,73,Normal
192,80,Normal
185,84,Normal
176,70,Normal
180,75,Normal
173,61,Lean
185,86,Stocky
185,80,Lean
179,67,Lean
196,80,Lean
179,78,Normal
180,73,Normal
173,63,Lean
181,71,Lean
180,77,Normal
191,77,Lean
194,91,Normal
172,70,Lean
194,90,Lean
180,74,Lean
186,75,Lean
180,78,Normal
191,83,Lean
187,83,Normal
174,76,Normal
175,70,Lean
187,82,Normal
191,86,Normal
182,73,Stocky
185,73,Lean
178,80,Normal
184,73,Lean
175,68,Lean
183,77,Normal
185,79,Lean
188,70,Lean
176,73,Normal
196,77,Lean
169,68,Normal
177,69,Lean
189,75,Lean
189,75,Normal
180,73,Lean
180,67,Lean
180,79,Normal
186,73,Lean
183,77,Normal
195,90,Lean
186,81,Normal
194,83,Lean
176,64,Lean
189,88,Normal
192,89,Normal
178,70,Normal
175,74,Normal
171,63,Lean
187,73,Lean
184,74,Normal
168,70,Normal
184,82,Normal
192,78,Lean
189,84,Normal
181,78,Normal
190,90,Normal
181,72,Lean
179,69,Normal
184,79,Normal
194,84,Normal
187,83,Normal
181,74,Lean
176,67,Normal
180,75,Normal
184,73,Lean
175,81,Normal
190,83,Normal
192,88,Normal
186,83,Normal
172,67,Lean
185,81,Normal
182,84,Normal
169,63,Normal
190,84,Normal
175,73,Normal
181,75,Normal
173,72,Lean
191,85,Lean
183,76,Lean
161,61,Normal
176,76,Normal
175,77,Normal
189,74,Lean
188,87,Normal
182,78,Normal
175,76,Lean
175,71,Normal
178,70,Normal
185,87,Normal
185,70,Normal
196,87,Lean
188,85,Stocky
174,70,Lean
177,70,Lean
188,84,Normal
185,81,Normal
179,70,Lean
172,75,Normal
171,75,Lean
181,80,Normal
188,84,Normal
193,79,Lean
176,73,Normal
165,62,Normal
185,79,Stocky
183,76,Normal
175,74,Normal
180,78,Normal
181,70,Lean
173,69,Normal
188,83,Normal
175,75,Stocky
187,84,Normal
189,87,Normal
187,84,Normal
183,83,Normal
198,103,Stocky
190,89,Stocky
177,72,Lean
174,74,Stocky
183,79,Normal
185,73,Normal
191,85,Normal
193,79,Lean
185,75,Normal
185,80,Normal
183,92,Stocky
196,86,Normal
178,73,Normal
181,75,Normal
187,78,Normal
185,80,Stocky
180,76,Normal
172,67,Normal
180,79,Normal
173,73,Normal
184,83,Lean
178,78,Normal
171,65,Normal
183,79,Normal
179,76,Normal
187,82,Lean
188,83,Normal
173,68,Normal
177,72,Normal
187,92,Stocky
175,62,Lean
177,68,Stocky
184,74,Lean
171,65,Lean
180,87,Normal
183,79,Normal
187,82,Normal
183,75,Normal
187,83,Lean
181,84,Normal
191,95,Lean
179,73,Normal
174,71,Normal
187,85,Normal
177,77,Lean
177,76,Normal
185,78,Normal
181,82,Normal
180,74,Normal
174,71,Normal
189,89,Normal
177,76,Normal
185,82,Normal
178,73,Lean
176,70,Lean
180,75,Lean
188,79,Normal
182,82,Normal
181,78,Normal
183,73,Lean
184,81,Normal
186,83,Normal
176,73,Lean
181,71,Normal
184,81,Normal
172,72,Stocky
180,75,Normal
183,72,Normal
173,75,Normal
188,81,Normal
186,86,Normal
181,78,Normal
184,75,Normal
185,84,Normal
175,71,Normal
178,66,Normal
185,80,Normal
186,79,Lean
190,86,Normal
183,73,Normal
183,79,Normal
190,87,Normal
189,85,Normal
176,72,Normal
192,78,Lean
170,67,Normal
194,85,Normal
180,73,Lean
183,74,Normal
172,70,Normal
173,70,Normal
184,80,Normal
176,79,Stocky
183,79,Normal
192,80,Normal
173,66,Lean
189,75,Lean
190,83,Lean
182,74,Normal
186,82,Lean
185,78,Lean
182,81,Normal
179,72,Normal
174,70,Normal
175,74,Lean
191,91,Normal
191,85,Normal
158,56,Normal
179,76,Normal
185,87,Stocky
185,79,Normal
187,82,Normal
193,90,Normal
182,71,Normal
167,60,Normal
176,67,Lean
180,74,Lean
171,65,Lean
181,71,Lean
187,80,Lean
184,76,Normal
189,83,Lean
185,82,Lean
182,76,Normal
169,67,Normal
174,69,Normal
173,73,Normal
181,74,Normal
182,83,Normal
194,92,Lean
187,78,Normal
175,66,Normal
175,67,Normal
174,61,Normal
182,79,Normal
178,73,Normal
177,76,Normal
168,68,Normal
166,66,Normal
171,66,Lean
183,86,Stocky
180,78,Lean
182,71,Lean
197,85,Stocky
173,70,Lean
182,81,Normal
178,76,Normal
183,71,Lean
183,77,Normal
169,60,Normal
180,71,Normal
180,78,Normal
175,73,Lean
190,80,Normal
173,72,Lean
174,74,Stocky
185,80,Stocky
192,83,Normal
177,81,Normal
188,79,Lean
173,74,Normal
188,84,Normal
182,83,Normal
175,70,Normal
186,84,Normal
180,79,Normal
184,73,Lean
169,66,Normal
186,85,Normal
190,83,Normal
189,77,Normal
185,83,Normal
187,81,Stocky
172,67,Lean
179,77,Normal
190,83,Normal
177,70,Lean
172,69,Normal
175,75,Stocky
182,81,Normal
169,66,Lean
175,69,Normal
179,69,Normal
173,76,Stocky
174,78,Normal
186,75,Lean
190,83,Normal
186,77,Normal
192,83,Normal
173,74,Normal
173,70,Normal
175,65,Lean
170,65,Normal
186,81,Normal
182,71,Lean
175,70,Normal
184,79,Normal
171,75,Normal
173,66,Normal
177,76,Lean
176,74,Normal
180,76,Lean
168,71,Lean
186,86,Stocky
175,71,Normal
192,91,Normal
188,78,Normal
177,78,Normal
192,90,Normal
190,88,Normal
175,68,Lean
178,75,Normal
191,88,Normal
176,76,Stocky
180,71,Normal
188,84,Stocky
194,82,Lean
177,72,Lean
177,63,Normal
185,80,Normal
188,78,Normal
176,76,Stocky
180,71,Normal
182,78,Lean
194,83,Lean
172,69,Normal
181,79,Normal
188,78,Lean
179,73,Lean
178,64,Lean
178,71,Lean
185,68,Lean
187,68,Lean
171,66,Normal
178,68,Lean
180,73,Lean
167,72,Normal
188,81,Normal
173,70,Lean
193,86,Normal
183,75,Normal
190,85,Lean
183,76,Normal
174,66,Normal
186,81,Lean
175,69,Lean
180,72,Lean
186,72,Lean
177,79,Stocky
182,82,Normal
177,71,Lean
180,74,Lean
183,78,Lean
176,70,Normal
185,78,Normal
172,65,Lean
185,77,Lean
190,85,Normal
176,74,Normal
178,67,Normal
172,69,Lean
193,85,Normal
177,76,Normal
175,70,Lean
183,79,Lean
184,74,Lean
184,83,Normal
175,70,Lean
185,70,Lean
170,66,Normal
175,66,Normal
185,78,Normal
176,68,Normal
185,81,Normal
183,76,Lean
182,77,Lean
184,82,Normal
184,77,Lean
174,71,Normal
172,63,Normal
179,79,Normal
171,68,Lean
183,71,Lean
191,81,Lean
185,70,Lean
184,75,Normal
175,70,Normal
187,77,Lean
185,79,Lean
183,74,Normal
180,77,Normal
176,73,Stocky
172,69,Normal
184,75,Lean
187,80,Normal
180,67,Lean
186,87,Normal
180,66,Lean
171,69,Normal
192,85,Normal
171,75,Normal
168,69,Normal
175,71,Normal
183,75,Lean
178,78,Normal
194,80,Lean
184,77,Normal
176,80,Normal
172,63,Lean
170,58,Lean
178,72,Stocky
184,75,Lean
168,58,Lean
185,79,Normal
190,82,Normal
184,81,Normal
183,77,Normal
192,87,Normal
173,68,Lean
179,64,Lean
177,70,Normal
180,78,Normal
182,89,Stocky
192,78,Lean
176,71,Normal
186,75,Normal
182,80,Normal
189,82,Lean
175,67,Lean
193,85,Normal
188,88,Normal
185,73,Lean
183,73,Normal
193,85,Normal
177,74,Normal
183,73,Lean
177,70,Lean
178,68,Normal
176,71,Lean
181,84,Normal
180,74,Lean
177,69,Lean
